area,perimeter,eccentricity,solidity
295,70.87005768508881,0.6789279712543358,0.8727810650887574
240,58.72792206135785,0.6337984525573845,0.9561752988047809
225,60.04163056034262,0.8373149039252183,0.9493670886075949
272,61.698484809834994,0.7599403338869408,0.9611307420494699
258,59.45584412271571,0.6685194582507696,0.9485294117647058
250,60.627416997969526,0.8511173643586736,0.9652509652509652
264,61.698484809834994,0.7959477730159024,0.9565217391304348
238,57.21320343559643,0.7548494801906093,0.9596774193548387
287,63.698484809834994,0.7394326789116304,0.9503311258278145
215,54.87005768508881,0.8038686352834498,0.9598214285714286
338,80.42640687119285,0.5830891687435747,0.845
226,55.11269837220809,0.601175025642773,0.9576271186440678
271,64.69848480983501,0.6838267626772604,0.9186440677966101
293,79.18376618407356,0.3267042161606408,0.8071625344352618
263,63.35533905932738,0.8068172381850613,0.9326241134751773
255,63.14823227814083,0.7965378054146384,0.9340659340659341
246,64.87005768508881,0.9127342536244357,0.9425287356321839
275,62.18376618407356,0.6789192284080124,0.9581881533101045
260,62.2842712474619,0.8340325026011164,0.9523809523809523
215,56.698484809834994,0.7969882091730545,0.9347826086956522
244,61.4558441227157,0.7696515369972209,0.9312977099236641
243,60.18376618407356,0.811319264077421,0.9382239382239382
234,55.698484809834994,0.5442606282193311,0.9473684210526315
262,64.2842712474619,0.8634339745587838,0.9290780141843972
253,62.76955262170047,0.8230307173646642,0.92
248,59.698484809834994,0.8314826853760842,0.9612403100775194
255,63.012193308819754,0.7754081961728714,0.9272727272727272
287,63.698484809834994,0.6954200146509635,0.9503311258278145
296,75.59797974644665,0.7084930891878253,0.8654970760233918
277,64.04163056034261,0.8271143639029465,0.9453924914675768
257,62.87005768508881,0.8488590352233627,0.948339483394834
216,58.627416997969526,0.8722168953660212,0.935064935064935
342,68.2842712474619,0.44338646123598136,0.9473684210526315
247,57.4558441227157,0.7246342897737431,0.96484375
229,63.94112549695428,0.8989771030964767,0.8980392156862745
233,60.8700576850888,0.8793572356627145,0.9395161290322581
240,56.8700576850888,0.5026493768344976,0.9411764705882353
271,70.8700576850888,0.9167534956137976,0.8522012578616353
271,64.2842712474619,0.8125345866236844,0.9344827586206896
260,64.2842712474619,0.7014934537485716,0.9219858156028369
296,67.35533905932738,0.8557334388353754,0.9548387096774194
254,58.62741699796952,0.7779482288347039,0.9731800766283525
276,62.8700576850888,0.7337892990824775,0.9419795221843004
232,58.79898987322333,0.8357402979201926,0.9469387755102041
299,66.52691193458118,0.7901769485955711,0.943217665615142
272,61.798989873223334,0.8140995025780148,0.9679715302491103
242,62.04163056034261,0.8832226661005443,0.952755905511811
285,68.8700576850888,0.892444940327796,0.946843853820598
228,56.627416997969526,0.7508330419103355,0.9539748953974896
250,62.62741699796952,0.8806327152005546,0.9541984732824428
253,63.11269837220809,0.8526950559439649,0.9405204460966543
274,69.11269837220809,0.9154968668565704,0.9448275862068966
290,70.18376618407358,0.8879080609373002,0.9354838709677419
235,55.4558441227157,0.6963497428300149,0.9670781893004116
